product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,"Экзотические виды мяса (например, страус, кенгуру)",2335,764,Мясо,Является важным элементом спортивного питания для восстановления после тренировок.,2001-01-05,2014-02-01,1.81,Awaiting Review
2,Одинцовская,5827,101,Напитки,Отличается высокими показателями усвояемости организмом.,2016-01-01,2016-01-06,0.76,Refunded
3,Анис звездчатый,9592,606,Бакалея,Отличается высокой питательностью и способен быстро утолить голод.,2020-03-07,2021-01-14,0.88,Pending
4,Куриные грудки,2316,193,Мясо,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2011-08-02,2026-01-18,3.54,Awaiting Review
5,Славяновская,6989,344,Напитки,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2011-01-05,2024-01-01,2.57,Available for Pickup
6,Мортаделла,5770,902,Мясо,Помогает поддерживать нормальный уровень глюкозы в крови.,1997-02-06,2003-02-13,0.9,Awaiting Review
7,Клюква,8145,291,Фрукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2010-05-12,2021-03-08,0.16,In Stock
8,Пакеты для бассейна,1600,172,Товары для дома,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2007-09-02,2014-05-02,4.99,Backorder
9,Моцарелла,1207,903,Молочные продукты,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2012-04-22,2025-03-05,4.76,Backorder
10,Adrenaline Rush,2732,889,Напитки,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2022-04-12,2027-06-03,0.75,Awaiting Payment
11,Крыжовник,5276,722,Фрукты,Отличается низкой калорийностью и высоким содержанием белка.,2014-12-24,2027-02-12,1.61,Out of Stock
12,Каймак,8859,264,Молочные продукты,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",1990-03-02,1998-06-03,4.93,Sold
13,Пакеты для дня рождения,4979,630,Товары для дома,Подходит для использования в качестве замены традиционных молочных продуктов.,2006-09-06,2016-01-01,4.13,Temporarily Unavailable
14,Ройбос,3034,204,Напитки,"Отличается длительным сроком годности, что позволяет делать запасы.",2005-01-03,2015-01-18,4.27,Sold
15,Варенец,2920,588,Молочные продукты,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2014-03-01,2018-01-23,4.99,Awaiting Payment
16,Кролик,1822,997,Мясо,Поддерживает иммунитет и общее состояние здоровья.,2013-02-09,2020-02-05,0.89,Out of Stock
17,Кровянка,8914,237,Мясо,Является важным компонентом сбалансированного рациона питания.,2015-06-09,2016-08-05,1.74,Awaiting Review
18,Подставки под столовые приборы,4567,226,Товары для дома,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2021-11-09,2023-03-09,3.98,Awaiting Review
19,Амарант семена,9204,689,Бакалея,Отличается высоким уровнем биологической доступности питательных веществ.,1992-04-07,1997-02-03,2.12,Shipping
20,Грудинка копченая,8305,742,Мясо,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",1995-03-06,2026-01-12,2.53,On Backorder
21,Краснодарская,6922,963,Напитки,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1997-03-10,2004-01-09,4.88,Available for Pickup
22,Окорок,7208,719,Мясо,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2016-04-02,2023-05-27,2.56,Available for Pickup
23,Штопоры,9951,148,Товары для дома,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",1996-02-03,2018-02-13,3.18,Sold
24,Киви,7912,994,Фрукты,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2001-03-02,2021-06-09,0.96,Temporarily Unavailable
25,Пакеты для Всемирного дня окружающей среды,2807,710,Товары для дома,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,1995-01-10,2023-06-01,3.54,In Stock
26,Домашние колбасы,6895,481,Мясо,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,1998-02-24,2003-04-01,3.8,Shipping
27,Каша из дробленной перловой крупы,116,628,Бакалея,"Подходит для веганов и вегетарианцев, если произведен без использования животных компонентов.",2014-05-11,2030-02-09,3.58,Awaiting Review
28,Крыжовник,1136,398,Фрукты,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,1990-01-24,1994-01-02,2.89,Returned
29,Зеленый перец молотый,2586,281,Бакалея,Отличается хорошим сочетанием с различными специями и приправами.,2004-08-11,2007-06-13,2.04,Cancelled
30,Пакеты для театра,4971,577,Товары для дома,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2008-04-03,2027-02-12,1.25,Awaiting Payment
31,Шампунь,5073,889,Товары для дома,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",1993-07-07,2004-04-02,1.37,Backorder
32,Гранат,7753,53,Фрукты,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",2000-01-03,2006-01-08,2.17,Shipping
33,Каймак,7468,184,Молочные продукты,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",1990-01-04,2030-01-05,0.94,Awaiting Review
34,Мягкие игрушки,8974,477,Товары для дома,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",1999-01-09,2006-04-02,1.17,Sold
35,Варенец,3606,198,Молочные продукты,Отличается низким содержанием насыщенных жиров и холестерина.,1997-04-13,2000-01-13,0.9,Returned
36,Пакеты для охоты,713,40,Товары для дома,Служит основой для создания множества кулинарных шедевров.,2000-09-03,2001-01-04,1.55,Refunded
37,Холодный чай с лимоном,9678,156,Напитки,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2004-01-03,2030-08-02,1.18,Cancelled
38,Сливки,9790,704,Молочные продукты,Может использоваться в косметических процедурах для увлажнения кожи.,2010-03-02,2029-05-01,2.12,Awaiting Payment
39,Банан,4922,985,Фрукты,"Отличается высоким содержанием коэнзима Q10, необходимого для выработки энергии в клетках.",2012-04-04,2013-06-09,3.65,Out of Stock
40,Шея,4400,721,Мясо,Прошел все необходимые сертификации и соответствует международным стандартам.,1994-06-09,2002-11-07,1.99,Returned
41,Гауда,5062,747,Молочные продукты,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,1998-05-03,2000-05-16,2.09,On Backorder
42,Сельдерей,1175,726,Овощи,"Является источником незаменимых аминокислот, необходимых для построения мышц.",1999-06-21,2015-05-02,1.92,Refunded
