name;rating;convenience;security;functionality;comment
Бункер 43;1.6;3;4;1;Это здание имеет стандартную конструкцию.
Ферма 51;4.3;2;5;3;Это здание имеет стандартную конструкцию.
Лестница 82;1.2;2;4;2;Это здание имеет стандартную конструкцию.
Дупло 60;2.4;2;5;2;Это здание очень функционально.
 Вилла 80;3.6;4;5;5;Это здание имеет стандартную конструкцию.
Музей 93;1.4;4;5;5;Мне нравится дизайн этого здания.
Волчатник 12;1.4;3;5;2;Это великолепное здание!
Ресторан 93;3.7;5;5;2;Это здание является примером функционального дизайна.
Ангар 74;3.8;3;4;3;Это здание не имеет особых архитектурных особенностей.
Замок 37;2.1;2;4;2;Это здание не имеет особых архитектурных особенностей.
Осатаник 47;1.0;1;3;5;Это здание не имеет особых архитектурных особенностей.
Усадьба 38;3.4;2;5;4;Это здание является примером функционального дизайна.
Шале 14;0.6;1;4;2;Это великолепное здание!
Улей 67;1.2;3;2;2;Это здание очень функционально.
Борть 76;0.1;4;1;2;Это здание построено из стандартных строительных материалов.
Улей 67;3.4;4;2;2;Это здание имеет стандартную конструкцию.
Лестница 22;3.3;3;2;5;Это здание является примером функционального дизайна.
Ангар 74;2.4;3;5;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Замок 98;0.9;3;2;1;Мне нравится дизайн этого здания.
Усадьба 38;4.7;2;5;4;Это здание имеет стандартную конструкцию.
Ресторан 93;0.5;2;5;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Котельная 21;3.9;4;3;5;Это здание представляет собой типичный образец современной архитектуры.
Торговый центр 53;0.1;4;3;5;Это здание представляет собой типичный образец современной архитектуры.
Дупло 100;4.2;5;2;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Тоннель 98;1.9;3;5;1;Это здание очень функционально.
Конюшня 84;1.8;3;4;1;Это здание имеет стандартную конструкцию.
Ресторан 25;2.0;2;2;1;Это здание имеет стандартную конструкцию.
Гнездо 42;0.7;4;3;5;Это здание не имеет особых архитектурных особенностей.
Лестница 82;0.6;3;4;4;Это здание имеет стандартную конструкцию.
Улей 67;2.2;1;5;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Лестница 22;5.0;1;2;3;Это здание очень функционально.
Улей 67;0.9;1;3;5;Это здание является примером функционального дизайна.
Нора 2;3.5;4;1;3;Это здание прекрасно вписывается в окружающий ландшафт.
Ферма 51;3.0;1;3;3;Это здание представляет собой типичный образец современной архитектуры.
ТЭЦ 75;4.3;5;1;2;Это здание очень функционально.
Улей 67;4.3;5;3;5;Это здание не имеет особых архитектурных особенностей.
Котельная 21;0.7;3;1;2;Это здание представляет собой типичный образец современной архитектуры.
Осатаник 47;3.1;1;1;1;Это здание имеет стандартную конструкцию.
Лежбище 18;3.8;5;3;4;Это здание имеет стандартную конструкцию.
Аэропорт 32;1.4;4;5;1;Это великолепное здание!
Плантация 78;1.7;2;2;1;Это здание построено из стандартных строительных материалов.
Ламарий 52;4.5;3;5;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Ангар 74;0.1;1;2;5;Это здание представляет собой типичный образец современной архитектуры.
Йодль 71;0.7;1;3;4;Это здание представляет собой типичный образец современной архитектуры.
Ангар 74;2.9;5;5;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Котельная 8;2.0;4;4;1;Это здание построено из стандартных строительных материалов.
Бомбоубежище 32;2.6;4;2;3;У этого здания отличная архитектура.
Верфь 21;4.0;5;3;1;Это здание построено из стандартных строительных материалов.
Подвал 52;3.1;3;1;3;Это здание представляет собой типичный образец современной архитектуры.
Йодль 71;1.7;1;4;4;Это здание является примером функционального дизайна.
Замок 37;3.8;2;1;1;Это здание имеет стандартную конструкцию.
Гнездо 42;0.9;1;3;4;Это здание не имеет особых архитектурных особенностей.
Волчатник 12;2.3;3;4;4;У этого здания отличная архитектура.
Верфь 8;1.5;2;5;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Торговый центр 53;4.9;2;1;2;Это здание построено из стандартных строительных материалов.
Кошара 23;3.3;2;3;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Музей 93;4.7;2;1;3;Это здание не имеет особых архитектурных особенностей.
Стадион 80;4.1;2;3;1;Это здание представляет собой типичный образец современной архитектуры.
Йодль 71;2.5;1;3;5;Это здание является примером функционального дизайна.
Дупло 60;3.0;4;4;4;Это здание прекрасно вписывается в окружающий ландшафт.
 Вилла 80;3.8;3;5;1;Это здание построено из стандартных строительных материалов.
Торговый центр 38;0.2;2;5;4;Это здание представляет собой типичный образец современной архитектуры.
Супермаркет 7;0.5;2;2;5;Это здание не имеет особых архитектурных особенностей.
Борть 76;0.1;5;4;3;Это великолепное здание!
Лестница 22;2.9;4;4;1;Это великолепное здание!
Бомбоубежище 32;1.5;1;4;4;Это здание очень функционально.
Плантация 78;1.8;2;3;3;Это здание представляет собой типичный образец современной архитектуры.
Лестница 82;3.4;4;1;4;Это здание представляет собой типичный образец современной архитектуры.
Улей 67;1.8;4;1;5;Это великолепное здание!
Ресторан 25;4.7;1;1;5;Это здание имеет стандартную конструкцию.
Дупло 60;4.9;2;1;3;Это здание построено из стандартных строительных материалов.
Борть 76;4.9;4;3;4;Это здание является примером функционального дизайна.
Торговый центр 53;3.6;2;3;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Крольчатник 69;2.2;1;4;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Автомойка 15;2.8;1;4;4;Это здание представляет собой типичный образец современной архитектуры.
Лестница 82;1.4;3;5;1;Это великолепное здание!
Ламарий 52;3.4;2;5;3;Это здание является примером функционального дизайна.
Ресторан 93;4.4;4;4;5;Это здание построено из стандартных строительных материалов.
 Вилла 80;1.5;5;2;1;Это здание имеет стандартную конструкцию.
Замок 37;4.5;2;3;5;Это здание прекрасно вписывается в окружающий ландшафт.
Подвал 52;1.3;5;2;5;Это здание является примером функционального дизайна.
Ресторан 25;5.0;1;5;1;Это здание представляет собой типичный образец современной архитектуры.
Тоннель 98;4.6;1;3;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Конюшня 84;2.0;3;5;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Ламарий 52;4.5;5;5;2;Это здание не имеет особых архитектурных особенностей.
Котельная 21;4.7;1;4;4;Это здание представляет собой типичный образец современной архитектуры.
Лестница 82;0.4;4;5;2;Это здание представляет собой типичный образец современной архитектуры.
Бункер 43;1.9;3;3;4;Это здание представляет собой типичный образец современной архитектуры.
Ферма 51;0.8;4;3;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Особняк 50;3.7;2;5;3;Это здание прекрасно вписывается в окружающий ландшафт.
Автомойка 15;4.3;2;4;5;Это здание является примером функционального дизайна.
Дупло 100;3.1;5;3;2;У этого здания отличная архитектура.
Подвал 52;2.6;1;4;4;Это здание не имеет особых архитектурных особенностей.
