product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Цукини,2109.0,772,Овощи,Служит основой для создания множества кулинарных шедевров.,2005-07-02,2005-07-02,3.04,Backorder
2,Рулька,4373.0,668,Мясо,Помогает улучшать качество сна и снижать уровень тревожности.,2010-01-22,2010-01-22,4.72,Shipping
3,Мыло жидкое,3673.0,950,Товары для дома,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2027-01-06,2027-01-06,4.34,Returned
4,Квас хлебный,3229.0,858,Напитки,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2023-01-01,2023-01-01,4.23,In Stock
5,Партенит,2148.0,249,Напитки,Подходит для использования в рецептах традиционной кухни разных стран.,2004-10-04,2004-10-04,4.64,Awaiting Review
6,Формы для выпечки,9589.0,23,Товары для дома,"Является источником важных нутриентов, необходимых для роста и развития детей.",2030-01-07,2030-01-07,0.87,On Backorder
7,Шубат,1645.0,112,Молочные продукты,"Обладает мягким вкусом, который нравится многим потребителям.",2027-08-01,2027-08-01,0.1,Available for Pickup
8,Моющее средство для стекол,7506.0,438,Товары для дома,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",1996-01-20,1996-01-20,3.92,Temporarily Unavailable
9,Кострец,5575.0,245,Мясо,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2023-03-05,2023-03-05,4.17,Shipping
10,Сало,9892.0,972,Мясо,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2024-07-02,2024-07-02,2.63,Refunded
11,Каша из дробленого кускуса,6852.0,693,Бакалея,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2030-09-01,2030-09-01,3.14,Awaiting Review
12,Батат,7856.0,318,Овощи,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2029-04-01,2029-04-01,4.97,Out of Stock
13,Голландский сыр,3417.0,865,Молочные продукты,Помогает поддерживать нормальный уровень кислотности желудка.,2020-03-04,2020-03-04,0.96,Backorder
14,Кунжут черный,7108.0,820,Бакалея,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2012-04-04,2012-04-04,3.86,Backorder
15,Соус соевый,8484.0,592,Бакалея,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2017-01-06,2017-01-06,3.3,Cancelled
16,Шадринская,1921.0,868,Напитки,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2000-07-05,2000-07-05,0.86,Delivered
17,Яблоко,454.0,281,Фрукты,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2022-02-15,2022-02-15,2.5,Sold
18,Пакеты для путешествий,2038.0,984,Товары для дома,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2018-02-22,2018-02-22,3.74,Available for Pickup
19,Сыворотка молочная,8505.0,810,Бакалея,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2004-02-05,2004-02-05,0.4,In Stock
20,Пастрома,8335.0,588,Мясо,Поддерживает иммунитет и общее состояние здоровья.,2016-03-01,2016-03-01,4.52,Refunded
21,Вилки,8685.0,515,Товары для дома,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2027-01-04,2027-01-04,0.94,Available for Pickup
22,Карамбола,9892.0,128,Фрукты,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2016-09-05,2016-09-05,1.75,Cancelled
23,Йогурт,1578.0,37,Молочные продукты,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2021-01-07,2021-01-07,1.72,Returned
24,Картофель,4786.0,261,Овощи,Отличается гипоаллергенностью и безопасностью для большинства людей.,2001-06-17,2001-06-17,0.67,Delivered
25,Кристалл Байкала,3470.0,176,Напитки,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2026-03-16,2026-03-16,3.15,Refunded
26,Майонез,7514.0,33,Бакалея,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2010-03-01,2010-03-01,0.6,In Stock
27,Бамия,2040.0,160,Овощи,"Является источником антиоксидантов, замедляющих процессы старения.",2025-07-10,2025-07-10,0.17,In Stock
28,Сливки,6109.0,159,Молочные продукты,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2028-07-08,2028-07-08,3.83,Backorder
29,Лимон,8263.0,584,Фрукты,Помогает нормализовать артериальное давление и уровень холестерина.,2007-01-01,2007-01-01,0.07,Available for Pickup
30,Каша из ячменя,2510.0,778,Бакалея,Прошел все необходимые сертификации и соответствует международным стандартам.,2029-03-02,2029-03-02,4.8,On Backorder
31,Пакеты для Всемирного дня театра,3143.0,15,Товары для дома,Отличается способностью повышать общий тонус и работоспособность.,2029-03-11,2029-03-11,1.03,Refunded
32,Лавровый лист сушеный,6913.0,151,Бакалея,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2008-03-01,2008-03-01,3.28,Refunded
33,Пакеты для концерта,7517.0,407,Товары для дома,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2014-03-01,2014-03-01,0.14,Shipping
34,Косуля,4178.0,472,Мясо,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2009-05-16,2009-05-16,3.82,Temporarily Unavailable
35,Масло сливочное,189.0,844,Молочные продукты,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2011-01-08,2011-01-08,2.67,On Backorder
36,Пельмени,9551.0,960,Мясо,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2013-01-24,2013-01-24,3.08,Sold
37,Куриные ножки,5065.0,942,Мясо,Прошел проверку на соответствие экологическим нормам и стандартам.,1999-04-16,1999-04-16,0.51,In Stock
38,Голландский сыр,6728.0,784,Молочные продукты,Является неотъемлемой частью рациона многих народов мира.,2025-01-16,2025-01-16,4.92,Backorder
39,Пакеты для документов,3815.0,20,Товары для дома,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2010-02-03,2010-02-03,1.08,Returned
