product_id,name,price,quantity,description,production_date,expiration_date,rating,status
2,Одинцовская,5827.0,101,Отличается высокими показателями усвояемости организмом.,2016-01-01,2016-01-06,0.76,Refunded
3,Анис звездчатый,9592.0,606,Отличается высокой питательностью и способен быстро утолить голод.,2020-03-07,2021-01-14,0.88,Pending
5,Славяновская,6989.0,344,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2011-01-05,2024-01-01,2.57,Available for Pickup
6,Мортаделла,5770.0,902,Помогает поддерживать нормальный уровень глюкозы в крови.,1997-02-06,2003-02-13,0.9,Awaiting Review
7,Клюква,8145.0,291,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2010-05-12,2021-03-08,0.16,In Stock
11,Крыжовник,5276.0,722,Отличается низкой калорийностью и высоким содержанием белка.,2014-12-24,2027-02-12,1.61,Out of Stock
12,Каймак,8859.0,264,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",1990-03-02,1998-06-03,4.93,Sold
13,Пакеты для дня рождения,4979.0,630,Подходит для использования в качестве замены традиционных молочных продуктов.,2006-09-06,2016-01-01,4.13,Temporarily Unavailable
14,Ройбос,3034.0,204,"Отличается длительным сроком годности, что позволяет делать запасы.",2005-01-03,2015-01-18,4.27,Sold
17,Кровянка,8914.0,237,Является важным компонентом сбалансированного рациона питания.,2015-06-09,2016-08-05,1.74,Awaiting Review
18,Подставки под столовые приборы,4567.0,226,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2021-11-09,2023-03-09,3.98,Awaiting Review
19,Амарант семена,9204.0,689,Отличается высоким уровнем биологической доступности питательных веществ.,1992-04-07,1997-02-03,2.12,Shipping
20,Грудинка копченая,8305.0,742,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",1995-03-06,2026-01-12,2.53,On Backorder
21,Краснодарская,6922.0,963,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1997-03-10,2004-01-09,4.88,Available for Pickup
22,Окорок,7208.0,719,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2016-04-02,2023-05-27,2.56,Available for Pickup
23,Штопоры,9951.0,148,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",1996-02-03,2018-02-13,3.18,Sold
24,Киви,7912.0,994,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2001-03-02,2021-06-09,0.96,Temporarily Unavailable
26,Домашние колбасы,6895.0,481,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,1998-02-24,2003-04-01,3.8,Shipping
30,Пакеты для театра,4971.0,577,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2008-04-03,2027-02-12,1.25,Awaiting Payment
31,Шампунь,5073.0,889,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",1993-07-07,2004-04-02,1.37,Backorder
32,Гранат,7753.0,53,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",2000-01-03,2006-01-08,2.17,Shipping
33,Каймак,7468.0,184,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",1990-01-04,2030-01-05,0.94,Awaiting Review
